Id,Movie,StudioDirty,Studio,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
264,Scotty and the Secret History of Hollywood,Greenwich,Greenwich,"$461,689 ","$28,144 ",34
265,Final Portrait,SonyPict…,Sony Pictures,"$460,859 ","$25,472 ",100
266,The Children Act,A24,A24,"$457,803 ","$18,293 ",73
267,Condorito: La Pelicula,Lionsgate,Lionsgate,"$447,719 ","$248,456 ",153
268,Un sac de billes,GaumontB…,Gaumont British Picture Corporation of America,"$409,862 ","$14,420 ",16
269,Yoru Wa Mijikashi Aruke Yo Otome,GKIDS,GKIDS,"$406,490 ","$18,302 ",415
270,The Oath,Roadside…,Roadside Attractions,"$401,464 ","$29,078 ",300
271,We The Animals,TheOrchard,The Orchard,"$400,746 ","$63,357 ",48
272,The Gospel According to Andre,Magnolia…,Magnolia Pictures,"$400,713 ","$47,802 ",36
273,Leaning into the Wind,Magnolia…,Magnolia Pictures,"$400,530 ","$24,840 ",39
274,Soorma,SonyPict…,Sony Pictures,"$382,104 ","$168,354 ",50
275,Jane and Emma,ExcelEnt…,Excel Entertainment,"$380,017 ","$84,512 ",29
276,Oh Lucy!,FilmMove…,Film Movement,"$375,393 ","$14,569 ",41
277,Grace Jones: Bloodlight and Bami,KinoLorber,Kino Lorber,"$375,208 ","$56,171 ",36
278,Dokjeon,WellGoUSA,Well Go USA,"$365,639 ","$146,630 ",32
279,Mountain,Greenwich,Greenwich,"$364,429 ","$6,067 ",35
280,Kusama: Infinity,Magnolia…,Magnolia Pictures,"$360,931 ","$30,998 ",22
281,Shine,GVNRelea…,GVN Releasing,"$333,388 ","$205,842 ",609
282,Flower,TheOrchard,The Orchard,"$328,188 ","$48,919 ",102
283,Damsel,Magnolia…,Magnolia Pictures,"$305,136 ","$20,291 ",42
284,Huang Jin Xiong Di,WellGoUSA,Well Go USA,"$285,795 ","$121,391 ",34
285,But Deliver Us From Evil,IndicanP…,Indican Pictures,"$285,169 ","$99,541 ",247
286,Science Fair,National…,National Geographic Entertainment,"$278,350 ","$11,231 ",49
287,Kings,TheOrchard,The Orchard,"$274,320 ","$163,289 ",214
288,The Endless,WellGoUSA,Well Go USA,"$272,020 ","$9,083 ",20
289,The World Before Your Feet,Greenwich,Greenwich,"$268,646 ","$21,337 ",11
290,Di Ren Jie Zhi Si Da Tian Wang,WellGoUSA,Well Go USA,"$262,963 ","$126,929 ",31
291,The King,Oscillosc…,Oscilloscope Pictures,"$259,291 ","$29,050 ",45
292,The House That Jack Built,IFCFilms,IFC Films,"$259,017 ","$34,273 ",140
293,What They Had,Bleecker…,Bleecker Street,"$257,869 ","$17,683 ",53
294,Le Vin et le Vent,MusicBox…,Music Box Films,"$257,610 ","$15,157 ",18
295,London Fields,GVNRelea…,GVN Releasing,"$252,676 ","$168,575 ",613
296,Generation Wealth,AmazonSt…,Amazon Studios,"$237,709 ","$35,834 ",45
297,Skate Kitchen,Magnolia…,Magnolia Pictures,"$236,799 ","$18,605 ",34
