,Id,Movie,,,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
226,227,Chasing Ice,National…,National Geographic Entertainment,"$612,089 ",,53
227,228,Not Fade Away,Paramount…,Paramount Pictures,"$610,792 ","$19,182 ",565
228,229,Heroine,UTVCommu…,UTV Communications,"$598,668 ","$389,901 ",114
229,230,Blue Like Jazz,Roadside…,Roadside Attractions,"$595,018 ","$261,190 ",136
230,231,W.E.,Weinstein…,Weinstein Co.,"$582,075 ","$47,074 ",24
231,232,Undefeated,Weinstein…,Weinstein Co.,"$561,054 ","$33,165 ",21
232,233,"Peace, Love, And Misunderstanding",IFCFilms,IFC Films,"$542,762 ","$105,960 ",76
233,234,Being Flynn,FocusFea…,Focus Features,"$540,152 ","$43,990 ",88
234,235,Dodookdeul,WellGoUSA,#N/A,"$532,699 ",,22
235,236,Et maintenant on va où?,SonyPict…,Sony Pictures,"$531,813 ","$15,382 ",37
236,237,Shut Up and Play the Hits,Oscillosc…,Oscilloscope Pictures,"$510,334 ",,161
237,238,Ai Weiwei: Never Sorry,IFCFilms,IFC Films,"$489,074 ","$41,104 ",39
238,239,Habemus Papam,IFCFilms,IFC Films,"$486,902 ","$31,368 ",27
239,240,The Flat,IFCFilms,IFC Films,"$471,842 ","$19,916 ",26
240,241,InchAllah,Entertain…,Entertainment One,"$460,384 ","$104,087 ",22
241,242,Bachelorette,Weinstein…,Weinstein Co.,"$446,770 ","$181,494 ",60
242,243,Ferrari Ki Sawaari,ErosEnte…,Eros Entertainment,"$420,046 ",,99
243,244,Seeking Justice,AnchorBa…,Anchor Bay Entertainment,"$411,746 ","$249,912 ",231
244,245,Sound of My Voice,FoxSearc…,Fox Searchlight,"$408,015 ","$36,134 ",48
245,246,Detropia,LokiFilms,#N/A,"$390,024 ","$17,414 ",24
246,247,La fille du puisatier,KinoLorber,Kino Lorber,"$389,651 ",,17
247,248,Khiladi 786,ErosEnte…,Eros Entertainment,"$385,422 ",,115
248,249,Smashed,SonyPict…,Sony Pictures,"$375,981 ","$26,943 ",50
249,250,Piranha 3DD,Weinstein…,Weinstein Co.,"$370,904 ","$182,237 ",86
250,251,The Oranges,ATOPictures,ATO Pictures,"$364,875 ","$198,461 ",110
251,252,Branded,Roadside…,Roadside Attractions,"$353,513 ","$240,589 ",307
252,253,Neuk-dae-so-nyeon,CJEntert…,CJ Entertainment,"$342,922 ",,20
253,254,Red Hook Summer,Variance/…,#N/A,"$338,803 ","$40,070 ",41
254,255,Student of the Year,ErosEnte…,Eros Entertainment,"$326,508 ","$326,508 ",106
255,256,The Central Park Five,IFCFilms,IFC Films,"$325,653 ","$30,570 ",22
256,257,Compliance,Magnolia…,Magnolia Pictures,"$319,285 ","$16,427 ",21
257,258,Liberal Arts,IFCFilms,IFC Films,"$319,176 ","$27,435 ",32
258,259,Gianni e le donne,Zeitgeist,Zeitgeist,"$317,405 ","$19,176 ",19
259,260,Jin líng shí san chai,WrekinHi…,Wrekin Hill Entertainment,"$311,434 ","$48,558 ",30
260,261,West of Memphis,SonyPict…,Sony Pictures,"$309,864 ","$13,856 ",40
261,262,Whores’ Glory,KinoLorber,Kino Lorber,"$306,151 ","$5,358 ",3
262,263,Stolen,Alchemy,Alchemy,"$289,773 ","$183,125 ",141
263,264,Something From Nothing: The Art of Rap,Indomina…,Indomina Releasing,"$288,738 ","$150,337 ",156
264,265,Une vie de chat,MongrelM…,Mongrel Media,"$287,709 ",,12
265,266,Boy,Paladin,Paladin,"$256,211 ","$21,244 ",18
266,267,Poulet aux prunes,SonyPict…,Sony Pictures,"$253,705 ","$11,301 ",24
267,268,Lola Versus,FoxSearc…,Fox Searchlight,"$252,603 ","$31,815 ",52
268,269,Keep the Lights On,MusicBox…,Music Box Films,"$246,112 ","$55,574 ",10
269,270,The Waiting Room,Internati…,International Film Circuit,"$244,092 ","$4,950 ",8
270,271,Gerhard Richter Painting,KinoLorber,Kino Lorber,"$242,646 ","$13,537 ",9
271,272,Trishna,IFCFilms,IFC Films,"$240,381 ","$29,140 ",38
272,273,Middle of Nowhere,AFFRM,#N/A,"$236,806 ","$67,909 ",24
273,274,My Uncle Rafael,SlaterBr…,#N/A,"$234,830 ","$109,747 ",14
274,275,Elena,Zeitgeist,Zeitgeist,"$232,070 ","$9,035 ",13
275,276,Therese Desqueyroux,MongrelM…,Mongrel Media,"$226,555 ","$30,206 ",16
276,277,Brooklyn Castle,Producers…,Producers Distribution Energy,"$219,407 ","$18,761 ",13
277,278,Neil Young Journeys,SonyPict…,Sony Pictures,"$214,588 ","$12,025 ",23
278,279,Thaandavam,UTVCommu…,UTV Communications,"$213,476 ","$123,753 ",45
279,280,Somewhere Between,LongShot…,Long Shot Factory,"$213,299 ","$7,799 ",6
280,281,Yi jiu si er,ChinaLio…,China Lion Film Distribution,"$212,475 ",,18
281,282,Tai Chi Zero,Variance…,Variance Films,"$212,094 ","$85,094 ",31
282,283,The House I Live In,Abramoram…,Abramorama Films,"$210,752 ","$16,453 ",12
283,284,Les petits mouchoirs,MPIMedia…,#N/A,"$205,505 ","$25,654 ",14
284,285,Touchback,AnchorBa…,Anchor Bay Entertainment,"$204,157 ","$66,998 ",69
285,286,10 Years,AnchorBa…,Anchor Bay Entertainment,"$203,654 ","$22,707 ",63
286,287,Vettai,UTVCommu…,UTV Communications,"$202,581 ","$87,921 ",34
287,288,Tim and Erics Billion Dollar Movie,MagnetPi…,Magnet Pictures,"$201,436 ","$87,475 ",33
288,289,Any Day Now,MusicBox…,Music Box Films,"$201,395 ","$40,489 ",19
